FIPS,AMOUNT
31043,0
31047,125000
31055,250000
31109,250000
31173,0
55109,0
10001,0
10003,625000
10005,0
1001,0
1003,0
1013,0
1027,0
1033,0
1039,0
1043,0
1051,0
1069,0
1073,0
1079,0
1083,0
1085,0
1089,0
1097,0
11001,3125000
1113,0
1117,0
1119,0
1129,0
1131,0
12007,250000
12009,0
12011,1750000
12013,0
12021,0
12029,0
12031,1875000
12035,0
12049,125000
12051,0
12057,625000
12061,0
12069,250000
12073,0
12075,0
12081,0
12083,0
12086,3250000
12095,0
12099,625000
12105,1000000
12107,0
12113,0
12115,1000000
12117,250000
12127,1674768
13009,0
13011,0
13031,0
13047,0
13051,0
13057,0
13063,0
13067,0
13081,0
13087,0
13089,1388397
13091,85400
13097,375000
13103,0
13121,1479470
13135,0
13153,0
13183,0
13185,0
13187,0
13217,0
13247,0
13261,0
13279,92228
13285,0
13287,95020
13311,0
13319,0
15001,250000
16001,500000
16003,0
16027,0
16041,0
16047,0
16055,117928
16061,0
16065,0
16073,0
17003,0
17019,0
17021,0
17023,0
17029,0
17031,3750000
17037,125000
17043,0
17059,0
17077,0
17089,0
17091,0
17097,0
17099,0
17111,0
17113,0
17117,0
17119,0
17127,0
17137,0
17143,125000
17145,0
17153,0
17163,0
17165,0
17167,0
17179,0
17181,0
17183,0
17185,0
17193,0
17195,0
17197,0
17201,0
18011,0
18017,125000
18019,0
18035,0
18037,0
18057,0
18067,0
18089,0
18093,0
18097,103505
18105,0
18127,375000
18141,125000
18143,0
18157,0
18165,0
18167,0
19015,0
19031,0
19059,0
19103,125000
19113,0
19153,375000
19181,125000
19191,0
19193,0
20001,119139
20121,125000
20125,95645
2013,125000
20161,125000
20173,239971
2020,250000
2050,0
21003,125000
21013,0
21023,0
21035,0
21037,0
21043,0
21045,0
21053,0
21083,0
21087,0
21093,0
21095,0
21097,0
2110,125000
21107,125000
21117,125000
21133,0
21135,0
21145,0
21151,0
21157,0
21195,0
21199,0
21211,0
21235,249950
21237,0
2180,0
22019,745796
22049,0
22051,0
22071,1875000
22073,0
22079,0
22087,0
22101,0
22103,0
22105,0
22117,0
2220,125000
2290,0
23001,375000
23003,0
23005,0
23009,0
23019,0
23025,0
23027,0
23031,250000
24001,0
24003,0
24005,0
24017,0
24019,0
24021,875000
24025,0
24031,0
24033,0
24043,0
25001,0
25003,0
25005,0
25009,0
25011,0
25015,0
25017,0
25021,0
25023,0
25025,625000
25027,0
26005,0
26015,0
26017,0
26027,0
26035,125000
26045,0
26049,0
26053,0
26065,625000
26071,0
26073,0
26081,0
26087,0
26093,0
26099,0
26121,125000
26123,0
26125,125000
26143,0
26159,0
26161,0
26163,2080039
26165,125000
27001,0
27003,0
27007,0
27013,250000
27019,0
27021,108803
27027,0
27029,0
27037,0
27047,0
27049,0
27053,125000
27059,0
27065,0
27077,0
27087,0
27109,0
27119,125000
27125,0
27129,120327
27137,0
27145,0
27147,0
27153,0
27161,0
27163,0
27169,0
28011,82352
28027,0
28039,0
28043,0
28047,494768
28049,0
28051,0
28089,127191
28103,0
28135,0
28139,0
28151,0
29007,0
29019,0
29031,0
29067,0
29077,1195089
29095,0
29097,0
29143,0
29145,0
29169,0
29189,1815035
29207,0
29209,0
29215,0
30003,125000
30033,0
30041,125000
30063,125000
30093,250000
30105,0
32003,1625000
32007,500000
32031,0
32510,0
33009,0
33011,625000
33015,0
33017,0
33019,0
34001,0
34003,0
34005,0
34007,3248200
34009,625000
34013,2875000
34015,0
34017,1875000
34019,0
34021,1500000
34023,0
34025,1375000
34027,0
34029,0
34031,0
34033,0
34035,0
34037,0
34039,0
34041,125000
35039,0
35043,0
35045,750000
35055,0
36001,0
36007,0
36009,0
36013,0
36019,0
36027,0
36029,0
36031,0
36035,0
36051,125000
36055,0
36059,0
36065,0
36067,0
36069,0
36071,500000
36083,299392
36087,0
36099,0
36105,0
36117,0
36119,0
37021,0
37031,0
37039,0
37041,0
37051,1871943
37055,125000
37065,0
37067,0
37069,0
37071,0
37085,0
37097,125000
37103,0
37111,0
37123,0
37125,0
37129,0
37131,0
37139,117740
37143,0
