STATE,AMOUNT
AK,625000
AL,3125000
AR,688094
AZ,1125000
CA,17685664
CO,697527
CT,3634605
DC,3125000
DE,625000
FL,12674768
GA,3515515
GM,723422
HI,250000
IA,625000
ID,617928
IL,4000000
IN,728505
KS,704755
KY,624950
LA,2620796
MA,625000
MD,875000
ME,625000
MI,3205039
MN,729130
MO,3010124
MS,704311
MT,625000
NC,2239683
ND,728877
NE,625000
NH,625000
NJ,11623200
NM,750000
NV,2125000
NY,924392
OH,7125000
OK,1236123
OR,625000
PA,2875000
RI,625000
SC,1802779
SD,625000
TN,2014634
TX,6610833
UT,1250000
VA,625000
VT,250000
WA,7159753
WI,625000
WV,676382
