"","OTHER_PCP_RATE_PREV","CHILDREN_IN_POVERTY","PCT_EXCESSIVE_DRINKING","SEVERE_HOUSING_PROBLEMS","DRUG_POISONING_MORTALITY_RATE","OTHER_PCP_RATIO_PREV","LIMITED_TO_HEALTHYFOOD","CHLAMYDIA_CASES","PCT_UNEMPLOYED","AVG_DAILY_PM25","DRUG_POISONING_DEATHS","MAMMO_MEDICARE_ENROLLEES","NATIVE_HAWAIIAN","HIV_RATE","ANNUAL_VIOLENT_CRIMES","DENTISTS_RATIO","PCT_SINGLE_PARENT_HOUSEHOLDS","ASIAN","PCT_RURAL","SOME_COLLEGE_POPULATION","HIV_CASES","PRIMARY_CARE_PHYS_RATIO","AMERICAN_INDIAN","PCT_LBW","PRIMARY_CARE_PHYSICIANS","INJURY_DEATHS_RATE","UNEMPLOYED","CHILD_MORTALITY_RATE","MOTOR_VEHICLE_MORTALITY_RATE","TEEN_BIRTHS","AGE_65_AND_GREATER","HISPANIC","PCT_SMOKERS","PCT_SEVERE_HOUSING_PROBLEMS","PCT_FEMALE","PCT_OBESE","GRADUATION_RATE","CHLAMYDIA_RATE","PCT_DRIVE_ALONE","PCT_MAMMOGRAPHY","POP_IN_VIOLATIONS","PCT_ALC_IMPAIRED","DENTISTS_RATIO_PREV","SOME_COLLEGE","PCT_SOME_COLLEGE","CHILD_TOTAL_DEATHS","UNINSURED_CHILDREN","LONG_COMMUTE_DRIVE_ALONE","PCT_FAIR_POOR_HEALTH","PCT_NO_SOCIAL_EMO_SUPPORT","HEALTH_CARE_COSTS","INJURY_DEATHS","ACSC_RATE","State","COUNTY","STATE_SHORT","VIOLENT_CRIME_RATE","HOMICIDE_RATE","FUND_AMOUNT"
"1",450,2648,16.7,2300,7.422517168,915,5344.427473,247,6.452119309,293,27,425,0.101097631,415,162.3333333,713,30.12494851,0.917099942,42.00216232,14507,483,128,0.509098787,9.3,21,69.6,1644,59.21564647,23.91699976,565,13.04896062,2.484113229,21.7,11.663286,51.13734835,30.5,80,446.9,87.78776314,66.58823529,2,25.49019608,730,7940,54.73219825,35,712,41.9,22.8,23.7,10219.21957,185,75.14559066,"ALABAMA","AUTAUGA","AL",302.9096745,3.573804562,0
"2",782,8723,17.9,9370,14.70991381,582,9952.144027,563,6.765938646,314,176,1841,0.064229514,435,387.3333333,2287,27.87998666,0.763795964,42.27909911,44796,252,1342,0.732751699,8.9,140,76.2,5666,58.71173145,19.97539433,1800,17.72996488,4.496065942,20.6,13.48686578,51.13150993,26.6,74,301.5,83.16454742,67.08310701,1495,31.85185185,2304,27677,61.78453433,97,2455,35.2,12.7,19.3,9624.229409,669,54.27298863,"ALABAMA","BALDWIN","AL",213.3010261,4.178952788,0
"3",81,2683,13.5,1650,0,1239,3135.676086,237,11.17957747,263,0,282,0.18306301,943,43.33333333,204,55.90787717,0.453996266,67.7896347,7448,505,2028,0.633398016,12.3,12,52.7,1016,105.2588964,26.17344268,446,15.23105768,4.946362538,25.1,16.84532925,46.33690916,37.3,60.64006024,873.9,82.65850946,64.53900709,113,47.61904762,406,3084,41.40708915,26,373,31.5,23.4,17.6,10809.06015,73,101.2316977,"ALABAMA","BARBOUR","AL",154.3264836,5.132047584,0
"4",1412,1297,11.2,710,16.5751844,894,491.4490662,106,7.640647363,288,26,184,0.131937725,47,57,1162,39.28164196,0.13633565,68.35260746,6136,175,651,0.34743601,12.7,5,98.1,694,103.8911976,33.78787589,252,13.86024694,2.027443047,25.9,9.543010753,46.03307239,34.3,73,465.6,82.33325365,61.95652174,2,27.5862069,1247,2712,44.19817471,22,294,49.7,17.9,29.1,10809.06912,111,89.55643418,"ALABAMA","BIBB","AL",254.2372881,7.650085107,0
"5",1844,3179,5.5,2595,13.00386801,786,609.0277084,101,6.218225966,267,51,341,0.107363026,1565,95,1118,25.33629078,0.228579345,89.95150204,14729,351,714,0.609544919,7.7,11,89.3,1639,63.88302309,28.30253626,615,15.93746758,8.386437626,21.3,12.59403058,50.56105839,30.4,81.03085554,175.1,80.48622226,62.75659824,559,23.33333333,1129,6816,46.27605404,36,1010,60.3,24.2,14.3,10509.50855,253,90.9679868,"ALABAMA","BLOUNT","AL",164.4637184,4.079644867,0
"6",2409,949,11.15,525,0,1640,2199.359828,148,13.38805548,276,0,101,0.811397302,984,36.33333333,1116,65.42173731,0.188697047,51.37438153,3193,322,457,0.868006416,13.7,3,102.5,473,78.18812873,58.66402461,226,14.63624212,7.783753184,37.8,14.07506702,45.75903387,42.1,72.5,1403.9,84.13569469,48.51485149,568,40,1239,1148,35.95364861,37,95,44.6,23,22.6,8940.600361,56,90.63310939,"ALABAMA","BULLOCK","AL",333.9563099,0,0
"7",1171,1959,10.9,1325,7.525381058,251,593.2251386,132,10.85027519,283,11,236,0.038838722,542,93.66666667,565,49.38619441,0.893290611,71.23215735,4830,322,277,0.320419458,10.4,7,70.8,966,63.98582468,28.73327313,294,17.44226129,1.097193902,30.5,16.52119701,53.05854937,38.3,72,639.2,88.70671564,58.05084746,1390,15.38461539,593,2230,46.16977226,13,233,32.1,19.9,27.6,11331.14966,74,128.3004193,"ALABAMA","BUTLER","AL",452.9189904,9.57775771,0
"8",1027,8212,11.6,6710,11.18283693,371,11909.16286,781,7.572748797,290,91,1323,0.098459449,427,649,2193,38.75954414,0.773246191,33.69682556,29384,148,1466,0.501633918,9,79,78.4,3966,81.3361308,22.73433881,1464,15.15993725,3.415524339,24.4,14.4549763,51.85757331,33.2,78.72233677,663,84.4466687,55.17762661,2,20,2229,14926,50.79635176,88,1465,26.5,22.7,22.4,11246.06057,459,91.52823005,"ALABAMA","CALHOUN","AL",553.3293546,11.30572524,0
"9",1852,2557,11.15,2345,9.437988313,676,3018.284747,260,9.277576915,298,23,433,0.052933392,791,168.3333333,892,51.64821015,0.56462285,49.14803449,8184,510,117,0.205852081,11.7,13,77.5,1360,62.83183061,27.08292299,497,17.57573978,1.673283341,24.1,17.14181287,52.28348772,35.4,79.9875,766.1,84.37795276,65.81986143,2,25,926,3853,47.07966764,20,374,33.2,38.5,32.6,9436.36449,134,88.79332489,"ALABAMA","CHAMBERS","AL",575.6953944,8.206946359,0
"10",499,1607,14.9,1155,12.89122052,860,34.48386235,70,7.10606722,294,23,312,0.02682609,123,86,1273,25.82893745,0.22227332,85.73627304,5858,225,506,0.521192611,8.9,7,80.9,814,72.66781724,25.78244104,268,19.32669767,1.356633709,24.4,10.17621145,50.43688204,31.4,72,268.6,80.54862843,59.61538462,2,30.3030303,1290,3132,53.46534654,16,295,41.5,24.2,23,10670.55995,104,100.1615008,"ALABAMA","CHEROKEE","AL",335.8806452,0,0
