CHLAMYDIA_CASES,SINGLE_PARENT_HOUSEHOLDS,LBW_BIRTHS,INJURY_DEATHS,DRUG_POISONING_DEATHS,LIMITED_TO_HEALTHYFOOD,PRIMARY_CARE_PHYSICIANS,PREMATURE_DEATHS,CHILD_TOTAL_DEATHS,DENTISTS,TEEN_BIRTHS,CHILDREN_IN_POVERTY,PREMATURE_TOTAL_DEATHS,MEDICARE_ENROLLEES,NOT_PROFICIENT_IN_ENGLISH,SEVERE_HOUSING_PROBLEMS,DRIVING_DEATHS,UNEMPLOYED,DIABETICS,UNINSURED_CHILDREN,MOTOR_VEHICLE_DEATHS,LABOR_FORCE,SOME_COLLEGE,PCT_NOT_PROFICIENT_IN_ENGLISH,SOME_COLLEGE_POPULATION,MAMMO_MEDICARE_ENROLLEES,DRIVE_ALONE,AGE_65_AND_GREATER,ALC_IMPAIRED_DRIVING_DEATHS,WORKERS,UNINSURED_ADULTS,HOUSEHOLDS,TEEN_POPULATION,UNINSURED,LIVE_BIRTHS,COHORT_SIZE,POPULATION,PCT_NO_SOCIAL_EMO_SUPPORT,PCT_RURAL,PCT_SEVERE_HOUSING_PROBLEMS,TEEN_BIRTH_RATE,HIV_RATE,GRADUATION_RATE,PCT_FOOD_INSECURITY,DRUG_POISONING_MORTALITY_RATE,DENTISTS_RATIO,FOOD_ENVIR_INDEX,PRIMARY_CARE_PHYS_RATIO,PCT_ALC_IMPAIRED,PCT_SINGLE_PARENT_HOUSEHOLDS,PCT_UNINSURED_CHILDREN,INJURY_DEATHS_RATE,CHLAMYDIA_RATE,OTHER_PCP_RATE_PREV,NON_HISPANIC,State,COUNTY,STATE_SHORT,VIOLENT_CRIME_RATE,HOMICIDE_RATE,FUND_AMOUNT,FUNDED_IND,ANNUAL_VIOLENT_CRIMES
247,4388,440,185,27,5344.427473,21,729,35,15,565,2648,729,4698,224,2300,51,1644,645,712,87,25480,7940,0.438690978,14507,425,21393,13.04896062,13,24369,6065,14566,14490,6682,4708,764,55514,23.7,42.00216232,11.663286,38.99240856,415,80,13.6,7.422517168,713,7.445188843,128,25.49019608,30.12494851,4.734987032,69.6,446.9,450,76.7746245,ALABAMA,AUTAUGA,AL,302.9096745,3.573804562,0,0,162.3333333
563,11699,1359,669,176,9952.144027,140,2325,97,84,1800,8723,2325,22090,3167,9370,135,5666,2436,2455,239,83743,27677,1.841193433,44796,1841,66189,17.72996488,43,79588,23050,41962,38796,25214,15353,2326,190790,19.3,42.27909911,13.48686578,46.39653573,435,74,13.1,14.70991381,2287,7.993460624,1342,31.85185185,27.87998666,5.591490912,76.2,301.5,782,83.44270192,ALABAMA,BALDWIN,AL,213.3010261,4.178952788,0,0,387.3333333
237,3350,304,73,0,3135.676086,12,422,26,10,446,2683,422,3006,562,1650,21,1016,453,373,51,9088,3084,2.170638446,7448,282,7431,15.23105768,10,8990,3468,5992,6045,3810,2470,332,27201,17.6,67.7896347,16.84532925,73.77998346,943,60.64006024,23,0,204,5.403317403,2028,47.61904762,55.90787717,6.102748691,52.7,873.9,81,46.82751803,ALABAMA,BARBOUR,AL,154.3264836,5.132047584,0,0,43.33333333
106,2067,230,111,26,491.4490662,5,390,22,4,252,1297,390,1906,107,710,29,694,313,294,53,9083,2712,0.498671762,6136,184,6888,13.86024694,8,8366,2560,5262,5114,2827,1808,261,22597,29.1,68.35260746,9.543010753,49.27649589,47,73,15.8,16.5751844,1162,7.798603036,651,27.5862069,39.28164196,5.698778833,98.1,465.6,1412,74.69434427,ALABAMA,BIBB,AL,254.2372881,7.650085107,0,0,57
101,3541,379,253,51,609.0277084,11,826,36,11,615,3179,826,3949,1498,2595,60,1639,570,1010,111,26358,6816,2.782007949,14729,341,18606,15.93746758,14,23117,7902,13976,12929,8807,4925,713,57826,14.3,89.95150204,12.59403058,47.56748395,1565,81.03085554,12.1,13.00386801,1118,8.648064123,714,23.33333333,25.33629078,6.915913448,89.3,175.1,1844,88.50869294,ALABAMA,BLOUNT,AL,164.4637184,4.079644867,0,0,95
148,1559,169,56,0,2199.359828,3,192,37,2,226,949,192,1075,321,525,20,473,204,95,45,3533,1148,3.175702414,3193,101,3373,14.63624212,8,4009,1111,2383,2655,1200,1233,112,10474,22.6,51.37438153,14.07506702,85.12241055,984,72.5,27,0,1116,3.702147309,457,40,65.42173731,4.022015241,102.5,1403.9,2409,22.37003491,ALABAMA,BULLOCK,AL,333.9563099,0,0,0,36.33333333
132,2454,200,74,11,593.2251386,7,389,13,6,294,1959,389,2900,34,1325,26,966,451,233,42,8903,2230,0.174915115,4830,236,6763,17.44226129,4,7624,2589,4969,4783,2803,1932,309,20307,27.6,71.23215735,16.52119701,61.4676981,542,72,22.7,7.525381058,565,6.352247144,277,15.38461539,49.38619441,4.639585822,70.8,639.2,1171,53.83532382,ALABAMA,BUTLER,AL,452.9189904,9.57775771,0,0,93.66666667
781,10305,931,459,91,11909.16286,79,2042,88,55,1464,8212,2042,15783,1174,6710,85,3966,2205,1465,185,52372,14926,1.061118242,29384,1323,38810,15.15993725,17,45958,15346,26587,28869,16663,10328,1455,117296,22.4,33.69682556,14.4549763,50.71183623,427,78.72233677,17.5,11.18283693,2193,6.641993038,1466,20,38.75954414,5.282134487,78.4,663,1027,73.45414421,ALABAMA,CALHOUN,AL,553.3293546,11.30572524,0,0,649
260,4011,328,134,23,3018.284747,13,643,20,8,497,2557,643,4635,147,2345,48,1360,781,374,66,14659,3853,0.456876457,8184,433,10716,17.57573978,12,12700,4709,7766,7933,5039,2813,320,34064,32.6,49.14803449,17.14181287,62.64969116,791,79.9875,21,9.437988313,892,6.070974949,117,25,51.64821015,4.734177215,77.5,766.1,1852,58.17379797,ALABAMA,CHAMBERS,AL,575.6953944,8.206946359,0,0,168.3333333
70,1371,149,104,23,34.48386235,7,470,16,4,268,1607,470,3039,38,1155,33,814,499,295,46,11455,3132,0.155146368,5858,312,8075,19.32669767,10,10025,3368,5308,5131,3633,1678,334,26021,23,85.73627304,10.17621145,52.23153381,123,72,15,12.89122052,1273,8.166343916,506,30.3030303,25.82893745,5.139372822,80.9,268.6,499,91.96366981,ALABAMA,CHEROKEE,AL,335.8806452,0,0,0,86
